城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
SCVA112,M11361,大众高尔夫,76000.0,1680.34,221.1,87,9.28
SCVA113,M11364,帕杰罗·劲畅,136000.0,3006.9,221.1,87,9.28
SCVA113,M11365,蒙迪欧致胜,54000.0,1193.92,221.1,87,9.28
SCVB118,M11378,奥迪A6L,202000.0,3984.66,197.26,87,8.28
NCVB107,M11561,奔驰C200L,225000.0,5087.34,226.1,83,9.94
SWVM123,M12192,雪佛兰科鲁兹,46000.0,846.94,184.12,64,10.5
SWVA208,M13030,路虎揽胜极光（每人限投2000）,248000.0,2451.7,98.86,26,13.88
SWVU108,M13038,奔驰CLS300（每人限投2000）,201000.0,1739.55,86.54,25,12.64
NCVB107,M13296,英菲尼迪Q70L,187000.0,1240.0,66.31,17,14.24
SWVM116,M13367,大众迈腾,146000.0,850.0,58.22,15,14.17
SWVG101,M13418,日产奇骏,100000.0,560.0,56.0,13,15.72
